label     y x err
{ɑ$\rightarrow$ɔ}  1 3.83 0.27
Match 2 3.87 0.18
{pʰl$\rightarrow$pʰ}  3 3.90 0.40
{kʰɑl$\rightarrow$kʰɑ}  4 4.56 0.37
{ɑ$\rightarrow$o}  5 5.03 0.21
{z$\rightarrow$s}  6 5.03 0.35
{kʰ$\rightarrow$k}  7 5.46 0.21
{pʰl$\rightarrow$pʰəl}  8 6.33 0.19
{pʰl$\rightarrow$pl}  9 7.03 0.33





