label     y x err
{θ $\rightarrow$ f}  1 4.40 0.42
Match 2 4.67 0.18
{faɪv $\rightarrow$ faɪ}  3 4.75 0.19
{θ $\rightarrow$ t̪}  4 5.34 0.21
{θɪk $\rightarrow$ θik}  5 5.57 0.21
{aɪ $\rightarrow$ ɑɪ}  6 5.75 0.36
{faɪv $\rightarrow$ faɪvə}  7 5.78 0.37
{aɪ $\rightarrow$ a}  8 5.88 0.38
{θ $\rightarrow$ s̪t̪}  9 6.56 0.33





